instrument_id,name,asset_class,sub_asset_class,category,currency,region,country,issuer,issuer_type,rating,duration_years,maturity_date,coupon,expense_ratio,aum_mn,esg_score,liquidity_score,yield_pct,ytm_pct,risk_score,theme,price,spread_bps,history_style,annual_return,annual_vol,source
tr_gov_2y,TR 2Y Government Bond,Local Bond,Sovereign,Short Duration TRY Government,TRY,Turkey,Turkey,Treasury,Sovereign,AAA,1.9,2028-06-15,38.0,0.00,8500,62,80,43.0,43.5,35,,100.0,0,bond,0.38,0.12,Seed
tr_gov_10y,TR 10Y Government Bond,Local Bond,Sovereign,Long Duration TRY Government,TRY,Turkey,Turkey,Treasury,Sovereign,AAA,7.8,2035-01-15,34.0,0.00,9200,60,68,36.5,37.2,62,,100.0,0,bond,0.31,0.21,Seed
tr_corp_3y_green,TR Corporate Green Bond 3Y,Local Bond,Corporate,Green TRY Corporate,TRY,Turkey,Turkey,Demo Energy A.Ş.,Corporate,A,2.6,2029-09-01,39.0,0.00,650,78,55,45.8,46.6,48,green,100.0,210,bond,0.40,0.16,Seed
usd_tr_eurobond_2035,TR Sovereign Eurobond 2035,Eurobond,Sovereign,USD Sovereign Eurobond,USD,EM,Turkey,Treasury,Sovereign,BB,8.4,2035-03-15,7.5,0.00,5400,58,74,6.9,7.2,57,,100.0,285,eurobond,0.09,0.14,Seed
usd_bank_eurobond_2029,Turkish Bank Eurobond 2029,Eurobond,Financial,USD Financial Eurobond,USD,EM,Turkey,Demo Bank,Financial,BBB,3.7,2029-11-01,8.0,0.00,1200,56,63,8.4,8.8,52,,100.0,360,eurobond,0.10,0.11,Seed
global_green_bond_etf,Global Green Bond ETF,ETF,Fixed Income,Green Bond ETF,USD,Global,Global,Demo ETFs,Fund,AA,5.1,,0.0,0.35,1800,88,79,4.2,4.4,38,green,52.0,95,etf_bond,0.07,0.08,Seed
global_clean_energy_etf,Global Clean Energy ETF,ETF,Equity,Clean Energy ETF,USD,Global,Global,Demo ETFs,Fund,A,0.0,,0.0,0.42,2600,91,83,0.0,0.0,82,clean energy,44.0,0,etf_equity,0.15,0.29,Seed
us_esg_leaders_etf,US ESG Leaders ETF,ETF,Equity,ESG Equity ETF,USD,US,United States,Demo ETFs,Fund,AA,0.0,,0.0,0.18,7600,89,92,0.0,0.0,61,esg,103.0,0,etf_equity,0.12,0.19,Seed
short_treasury_etf,Short Treasury ETF,ETF,Fixed Income,Short Duration Treasury ETF,USD,US,United States,Demo ETFs,Fund,AAA,1.8,,0.0,0.12,4900,72,94,4.7,4.9,22,,84.0,30,etf_bond,0.05,0.04,Seed
tefas_ppf_large,Top PPF Composite,TEFAS Fund,Money Market,PPF,TRY,Turkey,Turkey,TEFAS,Fund,AAA,0.1,,0.0,0.80,22000,52,95,48.6,48.6,8,,1.0,0,fund_cash,0.47,0.01,Seed
tefas_kvbaf_large,Top KVBAF Composite,TEFAS Fund,Short Term Debt,KVBAF,TRY,Turkey,Turkey,TEFAS,Fund,AA,0.7,,0.0,1.10,6400,50,76,44.1,44.1,18,,1.0,0,fund_cash,0.42,0.03,Seed
